id,category,cluster
3723991295,Agriculture & Environmental,0
3697940654,Agriculture & Environmental,0
3733092655,Agriculture & Environmental,0
3744697785,Agriculture & Environmental,0
3718297408,Agriculture & Environmental,0
3736246337,Agriculture & Environmental,0
3732612100,Agriculture & Environmental,0
3741336412,Arts & Entertainment,1
3742409272,Arts & Entertainment,1
3732849139,Arts & Entertainment,1
3746856252,Arts & Entertainment,1
3745307544,Arts & Entertainment,1
3691765287,Arts & Entertainment,1
3741078863,Arts & Entertainment,1
3750698893,Construction & Real Estate,2
3691343257,Construction & Real Estate,2
3736257697,Construction & Real Estate,2
3737913396,Creative Arts & Design,3
3747714013,Creative Arts & Design,3
3747712056,Creative Arts & Design,3
3730068366,Creative Arts & Design,3
3744007403,Creative Arts & Design,3
3745302963,Creative Arts & Design,3
3745303782,Creative Arts & Design,3
3739532869,Creative Arts & Design,3
3690376629,Creative Arts & Design,3
3739325114,Creative Arts & Design,3
3706995810,Creative Arts & Design,3
3745342754,Creative Arts & Design,3
3715387834,Creative Arts & Design,3
3725848478,Creative Arts & Design,3
3690100373,Creative Arts & Design,3
3754331714,Creative Arts & Design,3
3748953826,Creative Arts & Design,3
3736573118,Creative Arts & Design,3
3725260601,Creative Arts & Design,3
3730751284,Creative Arts & Design,3
3731370303,Creative Arts & Design,3
3732704923,Creative Arts & Design,3
3732704943,Creative Arts & Design,3
3737525910,Creative Arts & Design,3
3748492859,Creative Arts & Design,3
3711520489,Creative Arts & Design,3
3737451006,Creative Arts & Design,3
3737417817,Creative Arts & Design,3
3731339767,Creative Arts & Design,3
3748425053,Creative Arts & Design,3
3708511439,Creative Arts & Design,3
3748421734,Creative Arts & Design,3
3736575016,Creative Arts & Design,3
3732708256,Creative Arts & Design,3
3748308551,Creative Arts & Design,3
3746223665,Creative Arts & Design,3
3747790280,Creative Arts & Design,3
3750657297,Creative Arts & Design,3
3736863213,Creative Arts & Design,3
3736837642,Creative Arts & Design,3
3732711040,Creative Arts & Design,3
3736674976,Creative Arts & Design,3
3732849132,Creative Arts & Design,3
3746224458,Creative Arts & Design,3
3667909373,Creative Arts & Design,3
3740884492,Creative Arts & Design,3
3744882176,Creative Arts & Design,3
3730014538,Creative Arts & Design,3
3727013725,Creative Arts & Design,3
3728426360,Creative Arts & Design,3
3606883718,Creative Arts & Design,3
3754947356,Creative Arts & Design,3
3743408117,Creative Arts & Design,3
3754984929,Creative Arts & Design,3
3721857254,Creative Arts & Design,3
3738500368,Creative Arts & Design,3
3754997144,Creative Arts & Design,3
3747147145,Creative Arts & Design,3
3734720606,Creative Arts & Design,3
3755182698,Creative Arts & Design,3
3734830056,Creative Arts & Design,3
3748928225,Creative Arts & Design,3
3746900492,Creative Arts & Design,3
3740054447,Creative Arts & Design,3
3728887478,Creative Arts & Design,3
3703431294,Creative Arts & Design,3
3746800869,Creative Arts & Design,3
3740302723,Creative Arts & Design,3
3720122993,Creative Arts & Design,3
3735263030,Creative Arts & Design,3
3341144377,Creative Arts & Design,3
3609237645,Creative Arts & Design,3
3754941363,Creative Arts & Design,3
3745302938,Creative Arts & Design,3
3754811723,Creative Arts & Design,3
3747393873,Creative Arts & Design,3
3737986658,Creative Arts & Design,3
3748518070,Creative Arts & Design,3
3754613072,Creative Arts & Design,3
3735955237,Creative Arts & Design,3
3734123702,Creative Arts & Design,3
3749556219,Creative Arts & Design,3
3737990074,Creative Arts & Design,3
3746222860,Education & Training,4
3731948729,Education & Training,4
3743139219,Education & Training,4
3720892063,Education & Training,4
3711771384,Education & Training,4
3750541694,Education & Training,4
3741970610,Education & Training,4
3750544259,Education & Training,4
3667477972,Education & Training,4
3729514342,Education & Training,4
3735225034,Education & Training,4
3750539897,Education & Training,4
3737359709,Education & Training,4
3726117997,Education & Training,4
3741028092,Education & Training,4
3750544432,Education & Training,4
3745036873,Education & Training,4
3750302174,Education & Training,4
3750299690,Education & Training,4
3750299687,Education & Training,4
3745037647,Education & Training,4
3664564851,Education & Training,4
3690683736,Education & Training,4
3741216623,Education & Training,4
3740804429,Education & Training,4
3724277833,Education & Training,4
3752273001,Education & Training,4
3737043011,Education & Training,4
3747020725,Education & Training,4
3752268426,Education & Training,4
3752268403,Education & Training,4
3752267544,Education & Training,4
3752266744,Education & Training,4
3752266734,Education & Training,4
3708579255,Education & Training,4
3735911902,Education & Training,4
3729502869,Education & Training,4
3708835883,Education & Training,4
3743469731,Education & Training,4
3739987962,Education & Training,4
3696103695,Education & Training,4
3730701144,Education & Training,4
3737776257,Education & Training,4
3737780092,Education & Training,4
3710067327,Education & Training,4
3754423628,Education & Training,4
3730978143,Education & Training,4
3704949611,Education & Training,4
3751143250,Education & Training,4
3741661149,Education & Training,4
3667127469,Education & Training,4
3736851202,Education & Training,4
