id,cluster_adj
3701420292,1
3712625082,1
3664534049,15
3576920179,4
3590303623,1
3677574361,8
3676512433,1
3728004252,6
3613046264,2
3737301784,2
3738080536,8
3641818000,1
3730296704,15
3741652472,3
3677571574,8
3730295799,15
3720792891,6
3726706642,2
3694417130,1
3664561521,1
3732227337,0
3724283325,1
3735224232,1
3738079781,8
3694738651,1
3736837642,3
3733038094,1
3597210726,8
3719165720,1
3730355137,1
3732334774,1
3690376629,3
3690822022,15
3722078958,8
3664566535,1
3739548009,3
3735624409,13
3739540923,8
3664569359,1
3660402916,15
3708511439,13
3736461750,1
3626006447,8
3702558693,8
3741072427,1
3707383358,8
3738081533,3
3738076957,16
3733092655,1
3736863213,0
3729450167,13
3736440819,15
3725269981,2
3705898427,13
3661674712,1
3735225045,4
3667477972,1
3736833781,3
3664549741,1
3741714848,1
3740228656,2
3715833718,2
3726619692,1
3730667079,16
3736438870,15
3711771502,15
3734830056,3
3737913396,13
3728887478,3
3741661149,1
3728828230,8
3720399629,8
3720189094,1
3641771159,12
3732666032,0
3661677108,1
3732117137,8
3731370303,3
3738027557,4
3733365182,16
3645682476,1
3732039378,1
3736445225,1
3726117997,15
3623656829,16
3714345128,1
3630042904,15
3737525910,3
3677263075,15
3667909373,12
3670459911,1
3720129223,19
3739537528,4
3736331292,1
3710059086,15
3731725473,1
3737262887,8
3741151380,2
3728094708,1
3641771087,12
3730874575,2
3658777464,8
3717180033,13
3721857254,3
3728791480,6
3740231308,15
3720410334,1
3736389897,1
3703222634,15
3627723574,8
3713668871,8
3740392159,8
3719405745,1
3724284038,12
3660131161,15
3738567018,8
3675363211,1
3590317674,1
3731948729,1
3737302902,2
3725605613,16
3706082745,13
3732705232,6
3706087109,13
3734727297,1
3678671484,6
3733577210,2
3722977205,15
3741951508,2
3703428683,1
3735322439,2
3734020007,11
3641775716,12
3714628061,1
3736297822,3
3730355141,1
3725846809,18
3694897683,8
3724283011,12
3738122272,3
3732853334,11
3651897605,1
3736031813,15
3720177336,2
3697940654,8
3739544372,1
3736024481,1
3669209828,6
3737067021,4
3735323587,2
3708513181,13
3727013725,3
3659796428,1
3590309767,1
3731469545,8
3740054447,3
3652073089,1
3733657541,1
3708510454,1
3732202341,7
3727086963,16
3733213888,2
3736575016,3
3641771228,12
3729835937,1
3731339767,3
3729693958,19
3725329388,16
3731086384,15
3714593817,8
3739288570,1
3732711007,3
3732112853,1
3673080821,8
3649664540,8
3664567641,1
3739547004,8
3732183140,18
3738793498,10
3726266848,14
3724268272,13
3699956924,4
3732711036,3
3714594624,8
3689060136,8
3606883718,16
3733962940,18
3727927783,7
3641768342,12
3668169080,15
3667473845,1
3731599814,9
3733056389,8
3670841342,1
3732893216,7
3736912097,1
3733150069,6
3730014538,3
3735313410,2
3708508814,15
3734719627,8
3646122151,1
3728565347,19
3732705657,3
3641762978,12
3638079487,1
3708567308,13
3737945910,8
3673082406,12
3737993183,13
3694664644,8
3724277796,8
3742712983,19
3705897415,1
3740389548,8
3741481000,8
3716914342,8
3732560177,2
3730374331,8
3673108398,15
3656429001,1
3736840242,3
3735263030,3
3734693394,2
3736246337,13
3707649794,15
3728826395,2
3736674976,3
3734203493,1
3702211594,18
3724266285,8
3648520788,15
3673576440,2
3732710120,2
3707032590,19
3738080557,15
3738922458,2
3676865762,2
3590303571,1
3737417817,3
3738247853,8
3735911902,1
3739613047,4
3581141629,2
3710999854,4
3706081820,13
3732704943,16
3732710094,1
3724277833,12
3735034364,2
3711690478,15
3735913304,8
3735093942,18
3705727021,4
3739532869,3
3734559102,1
3725581026,19
3716063050,6
3673083503,12
3739872224,8
3732206129,7
3740232223,8
3701738308,15
3726643133,15
3642711952,15
3738160990,1
3664073509,2
3673089033,12
3733575296,15
3737604175,19
3733083485,13
3740096086,7
3733971159,2
3708506883,15
3708506876,1
3728609454,1
3707350323,7
3717056831,3
3677243430,1
3740391406,8
3733676570,1
3736851202,1
3695980818,1
3732280842,7
3669506663,15
3715850196,2
3736170203,8
3728284107,2
3740052241,8
3724260027,1
3740302723,16
3723238539,19
3718415807,6
3739534588,15
3731376318,8
3742166838,8
3709397356,7
3732708242,1
3739325114,2
3727737543,1
3664541738,1
3723241407,19
3737066056,1
3703429324,1
3664562997,14
3736677743,8
3641777295,12
3731920207,7
3735666549,8
3641767486,12
3732010959,1
3673084695,12
3711655059,2
3711771384,9
3740232214,8
3726963258,8
3736841128,3
3732218970,11
3687764366,8
3736344200,7
3731290042,7
3718297052,8
3670387950,1
3716916747,6
3721890512,8
3732706601,13
3675558535,7
3737494827,1
3730577605,8
3732711040,2
3730375312,8
3706656699,1
3740231313,3
3704896303,18
3737065241,4
3730720194,4
3734213818,11
3641770042,12
3723217544,7
3701731722,1
3741138074,1
3711780164,2
3737515553,15
3732587432,8
3724349678,8
3736842052,4
3735129894,8
3735266151,15
3732708293,1
3735650008,7
3707759475,1
3724258629,8
3741481582,1
3741125847,6
3641766823,12
3734919525,18
3598845835,14
3690683736,3
3728826396,1
3732357331,13
3710751759,1
3641767702,12
3732005746,4
3703434032,1
3710756337,3
3641774635,8
3709481584,1
3732890637,7
3736255795,1
3622508936,15
3712839025,7
3673078872,12
3716062022,19
3720128091,19
3742154360,2
3737648360,4
3635614728,2
3718388727,15
3661861055,1
3729092063,10
3724280682,12
3732711004,16
3732704903,3
3707038340,15
3742407096,19
3738534220,2
3741916905,15
3641777083,12
3673669734,1
3727540810,19
3735665665,8
3737787516,1
3735218997,13
3725262357,16
3686759489,8
3723236759,15
3741083262,8
3670243526,15
3720127424,19
3737397873,2
3725564838,1
3728463995,2
3728426360,15
3741517723,3
3706995810,1
3735374477,2
3734467681,2
3738108382,1
3641766866,12
3641775779,12
3735742164,15
3731643132,7
3703431294,1
3724764727,6
3719613299,8
3729947683,11
3708574187,8
3720991428,19
3641768531,12
3732086091,1
3730983181,7
3736798822,16
3721786066,8
3716068182,1
3695087132,15
3736566235,2
3733407124,7
3742720063,8
3740884492,1
3726229371,1
3641771014,12
3714444948,2
3732709192,16
3727402685,1
3731845135,15
3712727254,1
