id,cluster
3701420292,16
3712625082,5
3664534049,5
3576920179,17
3590303623,1
3677574361,18
3676512433,9
3728004252,9
3613046264,16
3737301784,18
3738080536,18
3641818000,16
3730296704,15
3741652472,10
3677571574,8
3730295799,15
3720792891,9
3726706642,16
3694417130,1
3664561521,1
3732227337,19
3724283325,15
3735224232,1
3738079781,18
3694738651,1
3736837642,10
3733038094,1
3597210726,1
3719165720,1
3730355137,1
3732334774,1
3690376629,10
3690822022,9
3722078958,8
3664566535,1
3739548009,10
3735624409,1
3739540923,8
3664569359,1
3660402916,15
3708511439,1
3736461750,1
3626006447,16
3702558693,9
3741072427,1
3707383358,18
3738081533,10
3738076957,4
3733092655,1
3736863213,19
3729450167,17
3736440819,1
3725269981,18
3705898427,1
3661674712,1
3735225045,17
3667477972,15
3736833781,10
3664549741,16
3741714848,14
3740228656,16
3715833718,8
3726619692,1
3730667079,4
3736438870,1
3711771502,1
3734830056,10
3737913396,1
3728887478,10
3741661149,15
3728828230,8
3720399629,16
3720189094,16
3641771159,7
3732666032,19
3661677108,8
3732117137,18
3731370303,10
3738027557,17
3733365182,4
3645682476,15
3732039378,1
3736445225,1
3726117997,1
3623656829,4
3714345128,1
3630042904,1
3737525910,10
3677263075,14
3667909373,7
3670459911,4
3720129223,16
3739537528,17
3736331292,5
3710059086,15
3731725473,1
3737262887,1
3741151380,16
3728094708,15
3641771087,7
3730874575,8
3658777464,18
3717180033,4
3721857254,10
3728791480,9
3740231308,15
3720410334,18
3736389897,15
3703222634,14
3627723574,18
3713668871,18
3740392159,16
3719405745,1
3724284038,7
3660131161,14
3738567018,16
3675363211,16
3590317674,1
3731948729,16
3737302902,16
3725605613,4
3706082745,5
3732705232,9
3706087109,5
3734727297,16
3678671484,9
3733577210,1
3722977205,8
3741951508,15
3703428683,16
3735322439,8
3734020007,3
3641775716,7
3714628061,1
3736297822,10
3730355141,16
3725846809,11
3694897683,18
3724283011,7
3738122272,10
3732853334,3
3651897605,16
3736031813,16
3720177336,1
3697940654,16
3739544372,1
3736024481,1
3669209828,9
3737067021,17
3735323587,16
3708513181,1
3727013725,10
3659796428,16
3590309767,1
3731469545,8
3740054447,10
3652073089,16
3733657541,1
3708510454,1
3732202341,6
3727086963,4
3733213888,18
3736575016,10
3641771228,7
3729835937,16
3731339767,10
3729693958,16
3725329388,4
3731086384,5
3714593817,16
3739288570,1
3732711007,10
3732112853,1
3673080821,10
3649664540,8
3664567641,1
3739547004,8
3732183140,11
3738793498,2
3726266848,9
3724268272,1
3699956924,17
3732711036,10
3714594624,18
3689060136,18
3606883718,4
3733962940,11
3727927783,6
3641768342,7
3668169080,18
3667473845,14
3731599814,0
3733056389,18
3670841342,16
3732893216,6
3736912097,1
3733150069,9
3730014538,10
3735313410,8
3708508814,14
3734719627,18
3646122151,1
3728565347,10
3732705657,10
3641762978,7
3638079487,1
3708567308,1
3737945910,8
3673082406,7
3737993183,1
3694664644,18
3724277796,8
3742712983,4
3705897415,1
3740389548,16
3741481000,18
3716914342,18
3732560177,1
3730374331,8
3673108398,1
3656429001,1
3736840242,10
3735263030,10
3734693394,8
3736246337,1
3707649794,14
3728826395,16
3736674976,10
3734203493,1
3702211594,11
3724266285,16
3648520788,8
3673576440,1
3732710120,1
3707032590,16
3738080557,8
3738922458,8
3676865762,1
3590303571,1
3737417817,10
3738247853,8
3735911902,8
3739613047,15
3581141629,1
3710999854,17
3706081820,5
3732704943,4
3732710094,1
3724277833,7
3735034364,1
3711690478,1
3735913304,18
3735093942,11
3705727021,17
3739532869,10
3734559102,18
3725581026,16
3716063050,9
3673083503,7
3739872224,16
3732206129,6
3740232223,18
3701738308,14
3726643133,14
3642711952,14
3738160990,5
3664073509,8
3673089033,7
3733575296,8
3737604175,16
3733083485,1
3740096086,6
3733971159,10
3708506883,15
3708506876,1
3728609454,1
3707350323,6
3717056831,10
3677243430,1
3740391406,16
3733676570,15
3736851202,1
3695980818,5
3732280842,6
3669506663,14
3715850196,1
3736170203,16
3728284107,17
3740052241,16
3724260027,1
3740302723,4
3723238539,16
3718415807,9
3739534588,1
3731376318,18
3742166838,18
3709397356,6
3732708242,1
3739325114,16
3727737543,1
3664541738,16
3723241407,16
3737066056,1
3703429324,16
3664562997,5
3736677743,16
3641777295,7
3731920207,6
3735666549,8
3641767486,7
3732010959,16
3673084695,7
3711655059,8
3711771384,0
3740232214,8
3726963258,8
3736841128,10
3732218970,3
3687764366,8
3736344200,6
3731290042,6
3718297052,16
3670387950,1
3716916747,9
3721890512,15
3732706601,10
3675558535,6
3737494827,1
3730577605,16
3732711040,10
3730375312,18
3706656699,1
3740231313,10
3704896303,11
3737065241,17
3730720194,17
3734213818,3
3641770042,7
3723217544,6
3701731722,16
3741138074,1
3711780164,15
3737515553,15
3732587432,4
3724349678,8
3736842052,17
3735129894,18
3735266151,18
3732708293,1
3735650008,6
3707759475,4
3724258629,16
3741481582,5
3741125847,9
3641766823,7
3734919525,11
3598845835,9
3690683736,1
3728826396,1
3732357331,1
3710751759,14
3641767702,7
3732005746,17
3703434032,16
3710756337,10
3641774635,16
3709481584,1
3732890637,6
3736255795,4
3622508936,16
3712839025,6
3673078872,7
3716062022,10
3720128091,16
3742154360,4
3737648360,17
3635614728,1
3718388727,9
3661861055,1
3729092063,2
3724280682,7
3732711004,10
3732704903,10
3707038340,5
3742407096,4
3738534220,1
3741916905,8
3641777083,7
3673669734,16
3727540810,16
3735665665,8
3737787516,8
3735218997,1
3725262357,4
3686759489,16
3723236759,15
3741083262,16
3670243526,8
3720127424,10
3737397873,10
3725564838,15
3728463995,8
3728426360,1
3741517723,10
3706995810,1
3735374477,15
3734467681,1
3738108382,1
3641766866,7
3641775779,7
3735742164,18
3731643132,6
3703431294,1
3724764727,9
3719613299,16
3729947683,3
3708574187,8
3720991428,16
3641768531,7
3732086091,1
3730983181,6
3736798822,4
3721786066,8
3716068182,16
3695087132,18
3736566235,16
3733407124,6
3742720063,8
3740884492,1
3726229371,1
3641771014,7
3714444948,14
3732709192,4
3727402685,1
3731845135,5
3712727254,1
3735683954,1
