id,cluster
3701420292,10
3712625082,3
3664534049,3
3576920179,3
3590303623,3
3677574361,11
3676512433,19
3728004252,19
3613046264,3
3737301784,13
3738080536,11
3641818000,10
3730296704,3
3741652472,15
3677571574,11
3730295799,3
3720792891,19
3726706642,3
3694417130,3
3664561521,3
3732227337,3
3724283325,8
3735224232,3
3738079781,11
3694738651,3
3736837642,15
3733038094,10
3597210726,1
3719165720,13
3730355137,19
3732334774,10
3690376629,15
3690822022,19
3722078958,13
3664566535,19
3739548009,7
3735624409,7
3739540923,11
3664569359,3
3660402916,2
3708511439,15
3736461750,10
3626006447,11
3702558693,19
3741072427,11
3707383358,19
3738081533,7
3738076957,10
3733092655,3
3736863213,2
3729450167,3
3736440819,19
3725269981,10
3705898427,6
3661674712,6
3735225045,17
3667477972,3
3736833781,7
3664549741,3
3741714848,8
3740228656,11
3715833718,3
3726619692,19
3730667079,12
3736438870,3
3711771502,3
3734830056,15
3737913396,3
3728887478,13
3741661149,3
3728828230,1
3720399629,11
3720189094,11
3641771159,4
3732666032,3
3661677108,10
3732117137,12
3731370303,7
3738027557,3
3733365182,12
3645682476,3
3732039378,1
3736445225,8
3726117997,3
3623656829,7
3714345128,8
3630042904,3
3737525910,15
3677263075,6
3667909373,4
3670459911,3
3720129223,11
3739537528,17
3736331292,3
3710059086,2
3731725473,3
3737262887,10
3741151380,11
3728094708,16
3641771087,4
3730874575,10
3658777464,10
3717180033,7
3721857254,15
3728791480,19
3740231308,3
3720410334,3
3736389897,3
3703222634,7
3627723574,17
3713668871,19
3740392159,3
3719405745,1
3724284038,4
3660131161,3
3738567018,1
3675363211,19
3590317674,11
3731948729,3
3737302902,11
3725605613,7
3706082745,6
3732705232,19
3706087109,6
3734727297,3
3678671484,3
3733577210,3
3722977205,2
3741951508,13
3703428683,3
3735322439,7
3734020007,13
3641775716,4
3714628061,3
3736297822,3
3730355141,16
3725846809,3
3694897683,3
3724283011,4
3738122272,7
3732853334,13
3651897605,8
3736031813,3
3720177336,1
3697940654,3
3739544372,7
3736024481,3
3669209828,6
3737067021,10
3735323587,3
3708513181,1
3727013725,15
3659796428,19
3590309767,6
3731469545,11
3740054447,7
3652073089,19
3733657541,3
3708510454,8
3732202341,12
3727086963,13
3733213888,13
3736575016,7
3641771228,4
3729835937,11
3731339767,7
3729693958,7
3725329388,7
3731086384,3
3714593817,10
3739288570,8
3732711007,15
3732112853,3
3673080821,4
3649664540,16
3664567641,3
3739547004,17
3732183140,3
3738793498,18
3726266848,13
3724268272,10
3699956924,17
3732711036,15
3714594624,11
3689060136,19
3606883718,13
3733962940,3
3727927783,19
3641768342,4
3668169080,19
3667473845,3
3731599814,0
3733056389,1
3670841342,11
3732893216,19
3736912097,8
3733150069,19
3730014538,15
3735313410,3
3708508814,6
3734719627,1
3646122151,6
3728565347,13
3732705657,7
3641762978,4
3638079487,3
3708567308,6
3737945910,19
3673082406,4
3737993183,6
3694664644,17
3724277796,17
3742712983,3
3705897415,6
3740389548,3
3741481000,10
3716914342,3
3732560177,11
3730374331,1
3673108398,19
3656429001,19
3736840242,3
3735263030,15
3734693394,10
3736246337,15
3707649794,10
3728826395,3
3736674976,3
3734203493,3
3702211594,9
3724266285,11
3648520788,1
3673576440,11
3732710120,3
3707032590,11
3738080557,11
3738922458,10
3676865762,3
3590303571,3
3737417817,7
3738247853,17
3735911902,3
3739613047,11
3581141629,3
3710999854,1
3706081820,6
3732704943,15
3732710094,3
3724277833,4
3735034364,17
3711690478,10
3735913304,10
3735093942,11
3705727021,17
3739532869,7
3734559102,12
3725581026,19
3716063050,19
3673083503,4
3739872224,17
3732206129,1
3740232223,3
3701738308,3
3726643133,3
3642711952,11
3738160990,3
3664073509,11
3673089033,4
3733575296,1
3737604175,7
3733083485,15
3740096086,12
3733971159,1
3708506883,10
3708506876,6
3728609454,8
3707350323,12
3717056831,7
3677243430,3
3740391406,3
3733676570,3
3736851202,3
3695980818,3
3732280842,1
3669506663,19
3715850196,10
3736170203,17
3728284107,13
3740052241,12
3724260027,3
3740302723,15
3723238539,3
3718415807,3
3739534588,6
3731376318,3
3742166838,10
3709397356,1
3732708242,3
3739325114,10
3727737543,3
3664541738,3
3723241407,3
3737066056,3
3703429324,3
3664562997,19
3736677743,1
3641777295,4
3731920207,12
3735666549,11
3641767486,4
3732010959,10
3673084695,4
3711655059,3
3711771384,0
3740232214,1
3726963258,10
3736841128,6
3732218970,13
3687764366,19
3736344200,12
3731290042,12
3718297052,10
3670387950,6
3716916747,15
3721890512,3
3732706601,6
3675558535,12
3737494827,3
3730577605,7
3732711040,15
3730375312,12
3706656699,6
3740231313,7
3704896303,3
3737065241,10
3730720194,17
3734213818,13
3641770042,4
3723217544,12
3701731722,3
3741138074,3
3711780164,19
3737515553,3
3732587432,3
3724349678,11
3736842052,17
3735129894,16
3735266151,10
3732708293,17
3735650008,12
3707759475,3
3724258629,8
3741481582,3
3741125847,19
3641766823,4
3734919525,9
3598845835,1
3690683736,15
3728826396,7
3732357331,3
3710751759,8
3641767702,4
3732005746,17
3703434032,3
3710756337,7
3641774635,17
3709481584,6
3732890637,19
3736255795,6
3622508936,10
3712839025,12
3673078872,4
3716062022,7
3720128091,17
3742154360,8
3737648360,3
3635614728,8
3718388727,3
3661861055,3
3729092063,18
3724280682,4
3732711004,7
3732704903,7
3707038340,6
3742407096,7
3738534220,11
3741916905,10
3641777083,4
3673669734,11
3727540810,12
