id,cluster
3701420292,19
3712625082,2
3664534049,2
3576920179,2
3590303623,2
3677574361,1
3676512433,10
3728004252,10
3613046264,7
3737301784,8
3738080536,19
3641818000,19
3730296704,19
3741652472,8
3677571574,1
3730295799,19
3720792891,10
3726706642,3
3694417130,9
3664561521,2
3732227337,1
3724283325,3
3735224232,3
3738079781,19
3694738651,2
3736837642,12
3733038094,19
3597210726,2
3719165720,3
3730355137,19
3732334774,3
3690376629,7
3690822022,10
3722078958,3
3664566535,2
3739548009,8
3735624409,3
3739540923,8
3664569359,8
3660402916,8
3708511439,10
3736461750,1
3626006447,3
3702558693,10
3741072427,3
3707383358,3
3738081533,8
3738076957,3
3733092655,1
3736863213,3
3729450167,9
3736440819,2
3725269981,3
3705898427,10
3661674712,1
3735225045,5
3667477972,0
3736833781,12
3664549741,9
3741714848,2
3740228656,5
3715833718,2
3726619692,19
3730667079,17
3736438870,3
3711771502,1
3734830056,2
3737913396,3
3728887478,8
3741661149,19
3728828230,19
3720399629,3
3720189094,3
3641771159,18
3732666032,1
3661677108,1
3732117137,3
3731370303,3
3738027557,3
3733365182,1
3645682476,2
3732039378,2
3736445225,3
3726117997,1
3623656829,5
3714345128,1
3630042904,12
3737525910,3
3677263075,2
3667909373,18
3670459911,3
3720129223,19
3739537528,3
3736331292,1
3710059086,8
3731725473,3
3737262887,3
3741151380,5
3728094708,19
3641771087,18
3730874575,3
3658777464,5
3717180033,12
3721857254,2
3728791480,3
3740231308,19
3720410334,1
3736389897,0
3703222634,19
3627723574,12
3713668871,1
3740392159,9
3719405745,3
3724284038,14
3660131161,2
3738567018,5
3675363211,19
3590317674,7
3731948729,1
3737302902,5
3725605613,3
3706082745,2
3732705232,2
3706087109,12
3734727297,3
3678671484,2
3733577210,2
3722977205,8
3741951508,3
3703428683,3
3735322439,3
3734020007,11
3641775716,18
3714628061,7
3736297822,12
3730355141,2
3725846809,3
3694897683,3
3724283011,14
3738122272,3
3732853334,11
3651897605,3
3736031813,1
3720177336,5
3697940654,3
3739544372,8
3736024481,7
3669209828,9
3737067021,5
3735323587,2
3708513181,19
3727013725,3
3659796428,3
3590309767,1
3731469545,5
3740054447,3
3652073089,2
3733657541,2
3708510454,1
3732202341,17
3727086963,8
3733213888,8
3736575016,3
3641771228,18
3729835937,3
3731339767,3
3729693958,2
3725329388,3
3731086384,3
3714593817,19
3739288570,2
3732711007,3
3732112853,3
3673080821,14
3649664540,2
3664567641,2
3739547004,9
3732183140,3
3738793498,16
3726266848,3
3724268272,3
3699956924,3
3732711036,3
3714594624,2
3689060136,19
3606883718,8
3733962940,19
3727927783,17
3641768342,14
3668169080,2
3667473845,9
3731599814,4
3733056389,3
3670841342,3
3732893216,17
3736912097,8
3733150069,2
3730014538,2
3735313410,1
3708508814,10
3734719627,8
3646122151,3
3728565347,7
3732705657,3
3641762978,18
3638079487,1
3708567308,12
3737945910,2
3673082406,18
3737993183,10
3694664644,12
3724277796,1
3742712983,3
3705897415,2
3740389548,9
3741481000,3
3716914342,1
3732560177,1
3730374331,5
3673108398,19
3656429001,3
3736840242,12
3735263030,3
3734693394,3
3736246337,10
3707649794,19
3728826395,5
3736674976,2
3734203493,1
3702211594,5
3724266285,1
3648520788,2
3673576440,3
3732710120,1
3707032590,3
3738080557,3
3738922458,3
3676865762,2
3590303571,19
3737417817,3
3738247853,1
3735911902,3
3739613047,19
3581141629,3
3710999854,2
3706081820,10
3732704943,1
3732710094,7
3724277833,14
3735034364,3
3711690478,1
3735913304,3
3735093942,19
3705727021,3
3739532869,3
3734559102,3
3725581026,3
3716063050,2
3673083503,14
3739872224,9
3732206129,17
3740232223,19
3701738308,12
3726643133,2
3642711952,2
3738160990,2
3664073509,3
3673089033,18
3733575296,2
3737604175,1
3733083485,10
3740096086,17
3733971159,2
3708506883,5
3708506876,10
3728609454,19
3707350323,17
3717056831,3
3677243430,2
3740391406,9
3733676570,3
3736851202,1
3695980818,2
3732280842,17
3669506663,2
3715850196,1
3736170203,2
3728284107,8
3740052241,12
3724260027,7
3740302723,3
3723238539,19
3718415807,1
3739534588,3
3731376318,1
3742166838,19
3709397356,7
3732708242,3
3739325114,3
3727737543,2
3664541738,1
3723241407,19
3737066056,3
3703429324,1
3664562997,2
3736677743,5
3641777295,18
3731920207,17
3735666549,3
3641767486,18
3732010959,3
3673084695,14
3711655059,3
3711771384,4
3740232214,19
3726963258,3
3736841128,10
3732218970,11
3687764366,3
3736344200,17
3731290042,17
3718297052,19
3670387950,8
3716916747,2
3721890512,3
3732706601,1
3675558535,17
3737494827,2
3730577605,3
3732711040,10
3730375312,3
3706656699,10
3740231313,12
3704896303,2
3737065241,5
3730720194,3
3734213818,11
3641770042,18
3723217544,17
3701731722,2
3741138074,7
3711780164,19
3737515553,19
3732587432,5
3724349678,5
3736842052,12
3735129894,3
3735266151,2
3732708293,1
3735650008,17
3707759475,7
3724258629,19
3741481582,1
3741125847,1
3641766823,18
3734919525,19
3598845835,7
3690683736,1
3728826396,3
3732357331,12
3710751759,7
3641767702,18
3732005746,9
3703434032,2
3710756337,5
3641774635,5
3709481584,1
3732890637,17
3736255795,10
3622508936,1
3712839025,17
3673078872,18
3716062022,3
3720128091,1
3742154360,1
3737648360,2
3635614728,3
3718388727,19
3661861055,3
3729092063,16
3724280682,14
3732711004,3
3732704903,3
3707038340,2
3742407096,3
3738534220,3
3741916905,2
3641777083,14
3673669734,5
3727540810,3
3735665665,3
3737787516,2
3735218997,8
3725262357,10
3686759489,12
3723236759,19
3741083262,2
3670243526,10
3720127424,3
3737397873,3
3725564838,8
3728463995,10
3728426360,3
3741517723,8
3706995810,3
3735374477,19
3734467681,3
3738108382,3
3641766866,18
3641775779,18
3735742164,3
3731643132,17
3703431294,3
3724764727,10
3719613299,3
3729947683,11
3708574187,6
3720991428,3
3641768531,18
3732086091,3
3730983181,17
3736798822,3
3721786066,2
3716068182,3
3695087132,5
3736566235,3
3733407124,17
3742720063,10
3740884492,3
3726229371,2
3641771014,18
3714444948,1
3732709192,3
3727402685,3
3731845135,5
3712727254,3
3735683954,1
3736346139,17
3740044821,2
3728818966,3
3732489753,3
3732612100,12
3641766647,18
3673078808,14
3738158604,3
3733402718,17
3736256809,5
3732126059,10
3726292305,3
3739392611,11
3651754067,9
3737451006,3
3710526267,2
3732707471,7
3649666448,2
3735409924,3
3737405580,19
3732704923,3
3733438493,10
3708835883,4
3729001415,2
3741767383,3
3737723368,1
3738981922,3
3720122993,3
3584484398,19
3641768357,14
3732570080,3
3723988355,2
3688418060,9
3673080745,3
3741947507,5
3735956531,3
3730373638,1
3673082400,14
3720326473,19
3641769989,14
3725316569,19
3736648138,17
3724258124,3
3714629012,7
3737357769,17
3736647172,17
3667476344,19
3735306827,19
3699644267,5
3741968274,2
3740059000,1
3738514558,3
3723972823,12
3735365289,12
3737404038,1
3732282540,1
3664554925,3
3728467377,2
3728146520,3
3668047229,3
3730066671,9
3734118028,12
3732715357,5
3681922904,3
3736840210,12
3664531955,3
3731365652,19
3724691051,3
3737043011,2
3668254640,3
3736839140,12
3726387224,16
3737987688,3
3739116156,3
3733813907,17
3691765287,3
3739558733,3
3732894230,17
3734123702,1
3734720606,10
3672714202,19
3737359708,17
3670843133,3
3726615898,7
3691150403,9
3734596946,17
3730371784,3
3735936484,19
3732415810,1
3741259248,3
3621022700,7
3737357802,17
3724819775,3
3736897918,3
3735955237,5
3737727290,19
3733570913,3
3641764860,14
3731286342,17
3737359678,17
3720305774,7
3728844807,17
3664560294,1
3722176010,12
3732705621,2
3730701144,19
3725353943,3
3736834848,12
3741970610,1
3720115111,19
3734873498,3
3654584312,17
3716402604,3
3673078968,18
3673085513,18
3728461550,3
3679822317,14
3737396674,7
3707353481,17
3736257697,19
3674619341,18
3738976895,3
3732705619,1
3742061238,8
3731776850,3
3727732407,2
3736258401,3
3732710108,3
3690899529,2
3727571312,17
3673085739,14
3732706680,3
3641762901,18
3738559982,2
3673077892,18
3699871889,3
3704949611,3
3730068366,2
3733476979,5
3735084527,17
3690100373,5
3664564688,3
3735954336,5
3736467084,3
3740217048,19
3734223438,9
3718297408,1
3733071905,5
3742900228,3
3732710165,1
3732709222,3
3702212539,5
3732708256,3
3641773703,14
3641765661,18
3673086430,14
3742754996,3
3742755564,3
3732283343,17
3644204385,19
3737895853,3
3673126607,3
3735950841,3
3717206861,3
3739541982,1
3736443618,3
3601393306,3
3738131454,3
3714217421,5
3731563557,2
3732233018,3
3737951338,19
3729711413,16
3732707467,3
3699684603,2
3735673332,7
3723396992,3
3736168524,7
3732215603,3
3724368970,2
3737526833,7
3732704092,5
3741028092,19
3733406794,3
3641761745,3
3665707277,8
3727015683,3
3738377797,3
3732218963,16
3738185958,5
3725555874,5
3711655940,16
3707040281,10
3737190461,5
3730141592,16
3303581157,3
3668765607,3
3722160337,1
3732705660,4
3737780092,2
3728820236,3
3732708311,7
3736136818,3
3726590884,19
3728211952,16
3742143529,16
3720770374,16
3704876682,16
3735648339,3
3641767139,1
3737990074,3
3729945866,16
3715189653,7
3672966254,16
3707080426,3
3733350418,6
3711520489,4
3723324396,16
3732704984,3
3732709227,3
3727215539,2
3710033176,3
3711660203,16
3730370874,6
3735095264,3
3688197861,6
3738992010,19
3731410302,3
3708507837,5
3732706583,3
3732868165,2
