title,function,industries,cluster
finance senior director supporting norlys digital,finance and sales,telecommunications,0
junior corporate accountant (remote internship – accounting),accounting/auditing and finance,"transportation, logistics, supply chain and storage",0
finance business partner,other and finance,"transportation, logistics, supply chain and storage",0
🇩🇰 finance manager,"finance, accounting/auditing, and administrative","technology, information and internet and financial services",0
junior modelling specialist,business development and sales,staffing and recruiting,0
finance and digital interns - finance operate & transformation team (aarhus),accounting/auditing and finance,"it services and it consulting, business consulting and services, and accounting",0
start your career as audit graduate at deloitte denmark,accounting/auditing,accounting,0
junior finance consultant - d365 bc,finance and sales,staffing and recruiting,0
junior finance consultant - d365 bc,finance and sales,staffing and recruiting,0
"student worker, corporate tax",finance and accounting/auditing,apparel & fashion,0
business controller reporting to cfo,,,0
group financial controller,accounting/auditing and finance,staffing and recruiting,0
trade finance professional,finance and sales,"wholesale import and export, banking, and insurance",0
assistant production accountant,finance,"technology, information and internet",0
"finance manager, international performance management - aarhus (12 month maternity cover)",finance and sales,"dairy product manufacturing, food and beverage manufacturing, and manufacturing",0
🇩🇰 finance manager,finance and sales,staffing and recruiting,0
trade finance professional,finance and sales,"wholesale import and export, banking, and insurance",0
finance manager – aarhus,finance and sales,railroad equipment manufacturing,0
finance business partner,finance and sales,"transportation, logistics, supply chain and storage",0
accounting manager,finance and accounting/auditing,software development,0
"chief fbp, ind cee + we","finance, analyst, and accounting/auditing",industrial machinery manufacturing,0
"investment banking analyst, corporate finance",finance and sales,banking,0
finance graduate,finance and accounting/auditing,apparel & fashion,0
senior bi analyst - gtm saas,analyst,software development,0
join our consulting cfo graduate programme in aarhus,finance,business consulting and services,0
head of operational finance,finance and sales,consumer services,0
senior product analyst,"research, analyst, and information technology",software development,0
investment banking internship - copenhagen,finance and sales,internet publishing,0
junior corporate accountant (remote internship – accounting),accounting/auditing and finance,"transportation, logistics, supply chain and storage",0
head of operational finance,finance and sales,"technology, information and internet",0
"financial controller, aalborg",accounting/auditing and finance,renewable energy semiconductor manufacturing,0
finance manager,finance and sales,textile manufacturing,0
financial coordinator,finance and sales,software development,0
group financial controller,"strategy/planning, finance, and accounting/auditing",retail luxury goods and jewelry,0
finance senior director supporting norlys digital,finance and sales,telecommunications,0
senior financial controller,accounting/auditing and finance,"technology, information and internet",0
finance graduate programme - multinational company,finance,"technology, information and internet",0
finance senior director – urgent hiring,finance and sales,staffing and recruiting,0
tax manager,accounting/auditing and finance,utilities,0
accounting (accountant),other,it services and it consulting,0
orderyoyo |  head of fp&a,finance and management,software development,0
it finops analyst,information technology,utilities,0
trade finance professional,finance and sales,"wholesale import and export, banking, and insurance",0
head of finance modular,finance and sales,automation machinery manufacturing,0
"analyst, corporate & institutional wealth",finance and sales,banking,0
financial controller,accounting/auditing and finance,software development,0
brand ambassador - copenhagen,sales and business development,retail,1
technical account manager,sales and business development,software development,1
chief sales officer,sales and business development,staffing and recruiting,1
"sales support specialist massey ferguson, denmark, sweden and baltics",other,machinery manufacturing and farming,1
sales development representative,sales and business development,software development,1
hubspot sales manager,sales and business development,advertising services,1
senior account manager,"sales, business development, and science","research services, biotechnology research, and pharmaceutical manufacturing",1
revenue manager,accounting/auditing and finance,travel arrangements,1
medical science liaison denmark/nordics,"research, analyst, and information technology",staffing and recruiting,1
ceo,"sales, management, and strategy/planning","it services and it consulting, software development, and utilities",1
