id,cluster_graph,cluster_kmean,ground
3701420292,0,1,17
3712625082,3,1,17
3664534049,3,1,5
3576920179,14,1,18
3590303623,4,1,4
3677574361,14,1,14
3676512433,9,1,4
3728004252,9,1,5
3613046264,14,1,4
3737301784,1,1,1
3738080536,14,1,14
3641818000,0,1,4
3730296704,5,11,12
3741652472,14,1,13
3677571574,14,1,14
3741940841,14,1,6
3730295799,5,11,6
3720792891,9,1,5
3726706642,8,8,14
3694417130,14,1,17
3664561521,3,1,17
3732227337,14,1,18
3724283325,14,1,4
3735224232,14,1,4
3738079781,14,1,4
3694738651,14,1,1
3736837642,14,8,19
3733038094,14,1,16
3597210726,14,1,3
3719165720,14,1,4
3730355137,14,1,7
3732334774,14,1,12
3690376629,8,8,4
3690822022,9,1,5
3722078958,14,1,10
3664566535,4,1,10
3739548009,14,1,4
3735624409,7,1,3
3739540923,14,1,13
3664569359,14,1,4
3660402916,14,1,14
3708511439,14,1,15
3736461750,14,1,4
3626006447,14,1,14
3702558693,9,1,5
3734143827,8,8,6
3741072427,14,1,12
3707383358,8,8,11
3738081533,14,1,13
3738076957,8,8,4
3733092655,14,1,5
3736863213,1,1,0
3729450167,14,1,4
3736440819,8,8,11
3725269981,14,1,4
3705898427,14,1,15
3661674712,10,1,4
3735225045,8,8,0
3667477972,14,1,16
3736833781,8,8,16
3664549741,8,8,17
3741714848,12,1,4
3740228656,4,8,2
3715833718,4,1,10
3726619692,14,1,7
3730667079,4,10,12
3736438870,8,1,4
3711771502,14,1,4
3734830056,4,1,19
3737913396,4,1,19
3728887478,1,1,10
3741661149,8,8,6
3728828230,14,1,17
3720399629,14,1,12
3720189094,8,8,14
3641771159,3,9,4
3732666032,14,1,18
3661677108,10,1,13
3732117137,4,1,1
3731370303,10,1,12
3738027557,14,1,18
3733365182,4,1,8
3645682476,14,1,4
3732039378,14,1,16
3736445225,8,8,4
3623656829,14,1,13
3714345128,10,1,5
3630042904,14,1,4
3737525910,4,1,19
3677263075,14,1,5
3667909373,3,1,13
3670459911,1,1,5
3720129223,14,1,12
3739537528,14,1,13
3736331292,8,8,13
3710059086,14,1,4
3731725473,14,1,16
3737262887,8,8,9
3741151380,4,8,2
3728094708,14,1,6
3641771087,3,9,13
3730874575,14,1,10
3658777464,14,1,16
3717180033,14,1,12
3721857254,14,1,6
3728791480,14,1,16
3740231308,14,1,2
3720410334,8,8,7
3736389897,14,1,9
3703222634,14,1,13
3627723574,14,1,17
3713668871,8,8,7
3740392159,8,8,4
3719405745,4,1,14
3724284038,3,5,9
3660131161,14,1,5
3738567018,8,8,3
3675363211,8,8,7
3590317674,14,1,13
3737302902,4,8,11
3725605613,8,8,16
3728173131,14,1,6
3706082745,14,1,15
3732705232,14,1,7
3706087109,14,1,18
3734727297,14,1,10
3678671484,4,1,1
3733577210,14,1,10
3722977205,14,1,14
3741951508,14,1,16
3703428683,14,1,18
3735322439,4,1,13
3734020007,10,3,8
3641775716,3,12,4
3714628061,4,1,17
3736297822,14,8,5
3730355141,14,1,1
3725846809,4,1,4
3694897683,4,1,0
3724283011,3,5,14
3738122272,7,1,8
3732853334,10,3,19
3651897605,14,1,13
3736031813,14,1,15
3720177336,14,1,3
3697940654,4,1,4
3739544372,14,1,13
3736024481,4,1,17
3669209828,14,1,5
3737067021,8,8,4
3735323587,14,1,17
3708513181,14,1,15
3732482827,8,1,6
