id,cluster
3701420292,16
3712625082,12
3664534049,13
3576920179,0
3590303623,12
3677574361,2
3676512433,16
3728004252,16
3613046264,6
3737301784,12
3738080536,12
3641818000,2
3730296704,3
3741652472,10
3677571574,14
3730295799,13
3720792891,16
3726706642,1
3694417130,12
3664561521,12
3732227337,16
3724283325,12
3735224232,14
3738079781,10
3694738651,13
3736837642,10
3733038094,8
3597210726,1
3719165720,15
3730355137,1
3732334774,18
3690376629,11
3690822022,16
3722078958,2
3664566535,1
3739548009,0
3735624409,12
3739540923,15
3664569359,13
3660402916,10
3708511439,16
3736461750,16
3626006447,14
3702558693,3
3741072427,14
3707383358,10
3738081533,0
3738076957,13
3733092655,13
3736863213,13
3729450167,1
3736440819,2
3725269981,7
3705898427,1
3661674712,13
3735225045,13
3667477972,7
3736833781,12
3664549741,12
3741714848,0
3740228656,2
3715833718,2
3726619692,1
3730667079,12
3736438870,18
3711771502,18
3734830056,14
3737913396,12
3728887478,7
3741661149,7
3728828230,6
3720399629,14
3720189094,14
3641771159,16
3732666032,13
3661677108,8
3732117137,1
3731370303,1
3738027557,10
3733365182,15
3645682476,13
3732039378,6
3736445225,11
3726117997,1
3623656829,15
3714345128,12
3630042904,14
3737525910,12
3677263075,12
3667909373,2
3670459911,2
3720129223,12
3739537528,16
3736331292,18
3710059086,11
3731725473,16
3737262887,10
3741151380,13
3728094708,8
3641771087,16
3730874575,2
3658777464,14
3717180033,0
3721857254,1
3728791480,12
3740231308,3
3720410334,14
3736389897,7
3703222634,12
3627723574,15
3713668871,13
3740392159,13
3719405745,1
3724284038,16
3660131161,1
3738567018,6
3675363211,8
3590317674,14
3731948729,1
3737302902,1
3725605613,14
3706082745,1
3732705232,12
3706087109,1
3734727297,4
3678671484,14
3733577210,10
3722977205,7
3741951508,18
3703428683,16
3735322439,0
3734020007,11
3641775716,4
3714628061,14
3736297822,16
3730355141,12
3725846809,3
3694897683,11
3724283011,10
3738122272,13
3732853334,2
3651897605,11
3736031813,13
3720177336,1
3697940654,1
3739544372,14
3736024481,12
3669209828,13
3737067021,6
3735323587,10
3708513181,1
3727013725,0
3659796428,2
3590309767,13
3731469545,17
3740054447,14
3652073089,12
3733657541,7
3708510454,0
3732202341,10
3727086963,12
3733213888,17
3736575016,14
3641771228,16
3729835937,18
3731339767,13
3729693958,0
3725329388,14
3731086384,14
3714593817,16
3739288570,7
3732711007,2
3732112853,1
3673080821,14
3649664540,8
3664567641,1
3739547004,11
3732183140,7
3738793498,17
3726266848,1
3724268272,3
3699956924,12
3732711036,12
3714594624,1
3689060136,8
3606883718,12
3733962940,10
3727927783,10
3641768342,4
3668169080,8
3667473845,1
3731599814,5
3733056389,18
3670841342,11
3732893216,12
3736912097,12
3733150069,14
3730014538,1
3735313410,2
3708508814,12
3734719627,1
3646122151,4
3728565347,7
3732705657,14
3641762978,16
3638079487,2
3708567308,13
3737945910,4
3673082406,16
3737993183,2
3694664644,7
3724277796,17
3742712983,18
3705897415,1
3740389548,13
3741481000,15
3716914342,15
3732560177,2
3730374331,6
3673108398,8
3656429001,0
3736840242,14
3735263030,12
3734693394,12
3736246337,13
3707649794,17
3728826395,16
3736674976,1
3734203493,11
3702211594,1
3724266285,15
3648520788,6
3673576440,17
3732710120,10
3707032590,12
3738080557,15
3738922458,11
3676865762,12
3590303571,1
3737417817,1
3738247853,12
3735911902,10
3739613047,7
3581141629,14
3710999854,6
3706081820,6
3732704943,0
3732710094,14
3724277833,14
3735034364,11
3711690478,17
3735913304,1
3735093942,7
3705727021,16
3739532869,10
3734559102,2
3725581026,8
3716063050,4
3673083503,4
3739872224,12
3732206129,6
3740232223,16
3701738308,7
3726643133,2
3642711952,4
3738160990,10
3664073509,14
3673089033,16
3733575296,6
3737604175,12
3733083485,15
3740096086,10
3733971159,1
3708506883,15
3708506876,2
3728609454,12
3707350323,12
3717056831,2
3677243430,16
3740391406,14
3733676570,10
3736851202,12
3695980818,1
3732280842,6
3669506663,13
3715850196,11
3736170203,15
3728284107,0
3740052241,3
3724260027,14
3740302723,0
3723238539,11
3718415807,2
3739534588,11
3731376318,1
3742166838,8
3709397356,6
3732708242,16
3739325114,11
3727737543,7
3664541738,12
3723241407,11
3737066056,16
3703429324,12
3664562997,1
3736677743,6
3641777295,16
3731920207,1
3735666549,14
3641767486,4
3732010959,12
3673084695,16
3711655059,18
3711771384,5
3740232214,6
3726963258,18
3736841128,8
3732218970,2
3687764366,8
3736344200,17
3731290042,13
3718297052,4
3670387950,14
3716916747,3
3721890512,2
3732706601,11
3675558535,3
3737494827,4
3730577605,0
3732711040,13
3730375312,12
3706656699,13
3740231313,0
3704896303,1
3737065241,6
3730720194,0
3734213818,2
3641770042,16
3723217544,15
3701731722,17
3741138074,14
3711780164,12
3737515553,3
3732587432,16
3724349678,12
3736842052,3
3735129894,14
3735266151,17
3732708293,1
3735650008,1
