id;date_scraped;keyword_scraped;location_scraped;linkedin_num;company;title;num_applicants;date_posted;level;employment_type;function;industries;description
3735892613;2023-10-27 16:55:07.389409;;Denmark;0;s360;Paid Search Intern, s360;;;Internship;Full-time;Marketing and Sales;Advertising Services;"s360 er et prisvindende Performance Marketingbureau med 250 højt specialiserede medarbejdere på tværs af otte kontorer i Norden og Holland. Vi er specialiseret i at skabe datadrevne marketingstrategier for ambitiøse virksomheder såsom Kia, BAUHAUS og Sephora.Vores medarbejdere vurderer vores kultur 4,4 ud af 5!Du bliver en del af en virksomhed, der brænder for at være de bedste til det, vi laver. Vi er stolte af vores kultur, som kendetegnes af et stærkt socialt fællesskab og høj faglighed - eller som Katrine Korsgaard, tidligere Intern og nu Associate Specialist i Creative Performance, siger det: “Vi har et godt tværfagligt samarbejde på kontoret, der understøtter, at vi kan levere de bedste løsninger. Dertil har jeg oplevet et meget struktureret og lærerigt praktikforløb, hvor jeg hele tiden havde en opgave at løse. Dette gjorde, at jeg følte mig som del af teamet - ikke bare som ‘intern’.”Når du er en del af s360, kan du deltage i alle vores sociale arrangementer, hvilket kan være alt lige fra padeltennis og gokart til tapas og brætspil. Lyder det som noget for dig? Så har du i foråret 2024 muligheden for at blive intern i vores Paid Search-team i Kolding!Teamet arbejder med betalt annoncering på søgemaskiner (primært Google) for at optimere afkastet på vores kunders medieinvesteringer. Vi sørger for at sammensætte de mest værdiskabende løsninger i samarbejde med kunderne ved brug af den nyeste teknologi, rådgivning, forretningsforståelse og eksekvering fra A-Z.Helt Konkret Kommer Du Til At Arbejde MedOpsætning af digitale kampagner og annoncer for virksomheder i mange forskellige brancherDaglig optimering og vedligehold af kunders kontiRapportering på konverteringer, adfærd og markedsudvikling i platforme som Google AnalyticsUdvikling og sparring med kunder omkring deres strategier i forbindelse med den betalte del af GoogleDet praktiske om digDu Er En Af Dem, Dine Medstuderende Betegner Som Ambitiøs, Og Så Ønsker Du At Sætte Dit Præg På Et Af Nordens Mest Ambitiøse Digitale Marketingbureauer. Derudover Er DuI gang med en relevant videregående uddannelseFlydende i mundtlig og skriftlig dansk samt behersker engelsk på højt niveauNede på jorden og ser stor værdi i samarbejdeDet praktiske om dit internshipOpstart er den 15. januar 2024Ulønnet fuldtidsstilling på 37 timer - men vi tilbyder lækker frokost samt te, kaffe og frugt ad libitum Sidste år ansatte vi over 50% af vores interns efter endt internship, så den mulighed er der også for dig!Ansøgningsfrist er den 5. november 2023Har du spørgsmål, er du velkommen til at kontakte Talent Acquisition Specialist Cecillie Meilby Lyngstrand på +45 29 21 12 91 eller [email protected].Vi glæder os til at høre fra dig!
      

        Show more

        


        Show less"
3742532970;2023-10-27 16:55:07.923933;;Denmark;1;Faststream Recruitment Group;Purchaser;64 applicants;;Mid-Senior level;Full-time;Purchasing and Supply Chain;Staffing and Recruiting;"Our client are a well-established Shipping Company and due to expansion are actively seeking to hire a Purchaser to joing their growing team!Are you ready to take on a dynamic role that includes:Connecting with suppliers and sub-contractors for quotes, orders, and timely delivery.Keeping a sharp eye on supplier and repair company performance.Ensuring swift procurement and delivery of vital supplies to vessels.Supporting docking, repairs, and vessel servicing.Delivering monthly reports to Management.Staying on top of sample reports and supplies from vessels.Providing invaluable ""Storing Feedback"" to vessels.Managing invoices for Stores, Spares, and Repairs.Keeping records on supplier compliance and vessel certificates.Driving sustainable and efficient purchasing strategies.Contributing to our environmental and safety standards.Embracing our commitment to the United Nations Sustainable Development Goals.ChallengesFlex your multitasking skills.Meet urgent supply requests head-on.Stand in for colleagues when they're away. Requirements & Qualifications: Must have:Education: Diploma HolderWork Experience: No minimum requirementsKey Competencies: Team player, adept at complex decision-makingLanguage(s) / Level: Proficient in spoken and written EnglishIT Skills: Proficient in Microsoft OfficeAlternativesHave a Bachelor's degree in Supply Chain Management or the shipping industry.Bring 2 years of Ship Chandling or Ship Management experience.Leverage IT experience with Shipnet and Eyeshare.


        Show more

        


        Show less"
3726264907;2023-10-27 16:55:08.309757;;Denmark;2;s360;Google Marketing Platform Intern, s360;;;Not Applicable;Other;Marketing and Sales;Advertising Services;"s360 er et prisvindende Performance Marketingbureau med 250 højt specialiserede medarbejdere på tværs af otte kontorer i Norden og Holland. Vi skaber mærkbare resultater for ambitiøse virksomheder såsom Kia, BAUHAUS og Sephora.Vores medarbejdere vurderer vores kultur 4,4 ud af 5!Du bliver en del af en virksomhed, der brænder for at være de bedste til det, vi laver. Vi er stolte af vores kultur, som kendetegnes af et stærkt socialt fællesskab og høj faglighed - eller som Katrine Korsgaard, tidligere Intern og nu Associate Specialist i Creative Performance, siger det: “Vi har et godt tværfagligt samarbejde på kontoret, der understøtter, at vi kan levere de bedste løsninger. Dertil har jeg oplevet et meget struktureret og lærerigt praktikforløb, hvor jeg hele tiden havde en opgave at løse. Dette gjorde, at jeg følte mig som del af teamet - ikke bare som en ‘intern’.” Når du er en del af s360, kan du deltage i alle vores sociale arrangementer, hvilket kan være alt lige fra padeltennis og fredagsbarer til hemmelige pop-up events. Lyder det som noget for dig? Så har du i foråret 2024 muligheden for at blive intern i vores Google Marketing Platform-team!GMP-teamet supporterer hele virksomheden på tværs af Google Marketing Platformen, hvor de blandt andet hjælper med løsninger som SA360, DV360 og CM. Din rolle som intern vil være at hjælpe med at udvikle og vedligeholde s360 produkter til GMP. Du vil samarbejde tæt med specialisterne i teamet for at hjælpe vores kunder med  at integrere vores løsninger samt videreudvikle dem.Derudover vil du komme til at arbejde i dybden med de enterpriseværktøjer, der tilbydes på Google Marketing Platform.Helt konkret vil du arbejde med følgende:Vedligehold af eksisterende s360 GMP-produkterDesign og udvikling af nye produkter, primært i python samt SQLGoogle Cloud Analyse, optimering samt validering af dataImplementering af produkter på tværs af nogle af Nordens største kunderDet praktiske om digDu er en af dem, dine medstuderende betegner som ambitiøs, og så ønsker du at sætte dit præg på et af Nordens mest ambitiøse digitale marketingbureauer. Derudover er du:I gang med en relevant videregående uddannelseFlydende i mundtlig og skriftlig dansk samt behersker engelsk på højt niveauNede på jorden og ser stor værdi i samarbejdeDet praktiske om dit internshipOpstart er den 15. januar 2024Ulønnet fuldtidsstilling på 37 timer - men vi tilbyder lækker frokost samt te, kaffe og frugt ad libitum Sidste år ansatte vi over 50% af vores interns efter endt internship, så den mulighed er der også for dig!Ansøgningsfrist er den 5. november 2023 Har du spørgsmål, er du velkommen til at kontakte Talent Acquisition Specialist Cecillie Meilby Lyngstrand på +45 29 21 12 91 eller cml@s360digital.com. Vi glæder os til at høre fra dig!


        Show more

        


        Show less"
3745171028;2023-10-27 16:55:08.798194;;Denmark;3;GatedTalent - Connecting Top Executive Search Firms And Executives ;Beverage Director – Immediate Start;;;Director;Full-time;Management and Manufacturing;Staffing and Recruiting;"An organisation is searching for a Beverage Director, please see some of their job details below.Job DescriptionThe Beverage Director will be directly responsible for setting the beverage strategy and leading the implementation on our ships to deliver best-in-class experience for our guests. This leader will not only focus on our day-to-day operations, but also maximizing commercialization and revenue streams of all beverage products, including cost management and leveraging vendor relations to develop an immersive wine and beverage program.Key AccountabilitiesIs responsible for all aspects of the company’s beverage programs from conception to implementation, including beverage lists, costing and pricing, training, non-alcoholic beverage programs, special events, inventory, vendor relations, competitive positioning ;Scout for trends to enhance our beverage offer and leads the implementation on the fleet to generate additional revenue opportunities;; Remain aware of internal and external conditions and industry innovations and best practices and applies this knowledge as appropriate in managing and leading company’s beverage operations;; Assist the New Buildings team in designing new Bar concepts on board of new ships and/or adjusts product for new itineraries in collaboration with Supply Chain;; Support the Beverage team in the creation and editing of wine lists, craft cocktail menus, and beer lists;; Is responsible for the financial performance of the Beverage department;; Prepare and manage yearly budget for the beverage operation, including all beverage related revenue and cost accounts;; Monitor the correct execution of key operational processes, such as training, quality/recipe control, steps of service, inventory and ordering processes;; Build positive and effective relationships with the entire shoreside/on board Beverage teams to create a positive environment, enabling employees to maximize their potential;; Support the beverage teams, on board and shoreside, and contribute to the strategic development and management of career paths and succession plans within the department;; Ensure that comprehensive processes, policies, standards and procedures are developed, clearly defined and communicated effectively to all stakeholders for the successful execution of the company’s beverage operations;; Lead, manage and supervise Shoreside direct reports and has indirect supervisory responsibility for the shipboard beverage teams;; Manage multiple projects and priorities simultaneously and ensures the work-load is performed effectively and consistently;; Provide beverage leadership and expertise to various company projects and business initiatives.;Qualifications (skills, Competencies, Experience)Fluent English. Any other language is an advantage; Bachelor’s Degree in Business Administrations, Revenue Management or Hospitality Management;; Minimum Level 2 Sommelier Certification;; Minimum 10 year’s Beverage Director or Beverage Program Manager related experience managing multiple outlets;; Experience in Corporate Level Hospitality and Tourism. Cruise Line or Shipboard experience is considered an advantage;; Proficient level of experience in MS Office, Excel and PPT presentations;; Customer and guest service oriented;; Strong business acumen with ability to create and enhance revenue opportunities;; Excellent communicator, leader and team player;; Flexibility and ability to work in fast moving environment;; This position will require work-related travel up to 40% of the working time.;Benefits of working as a Beverage Director (F&B) – Geneva, CH in Udlandet:Opportunity to Make a DifferenceCompany offers career progression opportunitiesAdvantageous package#JPKR#JPKR
      

        Show more

        


        Show less"
3738079781;2023-10-27 16:55:09.132440;;Denmark;4;TwentyThree;Client Director Denmark;;;Director;Full-time;Other;Technology, Information and Internet;"TwentyThree is seeking a highly motivated and experienced Danish Client Director to join our team in Denmark. As the Client Director, you will play a key role in building and maintaining relationships with our clients while driving growth and revenue for our organization. This is an exciting opportunity to be part of a fast-growing SaaS company.At TwentyThree, we are committed to providing our clients with outstanding tools and support, and as the Client Director, you will be at the forefront of delivering exceptional service. You will be responsible for understanding our clients' needs and goals, and effectively communicating the value and benefits of our products. You will also collaborate closely with our internal teams to ensure client satisfaction and success.As a Client Director, you will join an innovative and dynamic team that values creativity, collaboration, and continuous improvement. With over 1 million videos on our platform and more than even more plays, we are scaling quickly and need talented individuals who can contribute to our growth.To learn more about TwentyThree and all the exciting things we're working on, please visit our website at https://www.twentythree.net/.ResponsibilitiesBuild and maintain strong relationships with clients, acting as their main point of contactUnderstand clients' needs and goals, and develop appropriate strategies to meet their business objectivesCollaborate with internal teams to ensure client satisfaction and retentionDrive revenue growth by identifying upselling and cross-selling opportunitiesProvide expert advice and recommendations to clients, leveraging in-depth knowledge of our products and servicesConduct regular business reviews with clients to ensure their ongoing success and satisfactionStay up-to-date with industry trends and best practices to effectively advise clientsRequirementsProven experience as a Client Director/Key Account or similar role in SaaSProven track record of driving revenue growth and exceeding sales targetsExperience in driving revenue growth through upselling and cross-sellingStrong communication and negotiation skillsKnowledge of the SaaS industry and digital marketing strategiesAbility to travel internationally as requiredIs proficient in both Danish and EnglishBenefitsYou’ll become a part of an involving, vibrant startup culture on a mission as global challengers in the video marketing space, where your efforts will play a central role in achieving the overall growth ambitions of the company. The role entailsA competitive base salaryAn attractive commission modelA phone and a laptopLunch (at a small cost) + coffee and Monday breakfasts are being paid forAn annual retreat to a sustainable location


        Show more

        


        Show less"
3739257598;2023-10-27 16:55:09.540956;;Denmark;5;Zizzi;Graphic designer - Brand marketing;27 applicants;;Not Applicable;Full-time;Other;Human Resources Services;"Visuelt stærk grafisk designer, der er kreativ helt ind til benet (barselsvikariat)Er du en passioneret grafiker, der kombinerer kreativitet med struktur og overblik? Har du interesse for mode og livsstil – og ved du lige præcis, hvilken farve, vi alle kommer til at gå i næste sæson? Så er du måske vores nye kollega!Hos Zizzi bliver du en del af Brand Marketing-afdelingen, et team på 12, hvor vi arbejder tæt sammen om at skabe visuelindhold, der styrker vores brand på tværs af alle platforme.Du kommer til at favne en bred vifte af grafiske opgaver til både online og offline platforme. Derfor er det vigtigt, at du tager ansvar, eksekverer hurtigt, og ikke mindst at du trives med forskelligartede opgaver.OM AFDELINGENDu bliver en del af vores kreative Brand Marketing-afdeling. Sammen er det vores arbejde at sætte retningslinjerne for Zizzi-brandet og skabe visuelt og kreativt indhold til kollegaer rundt i huset.Vores organisation er præget af en uformel og ambitiøs tone, hvor der både er plads til individets udvikling og den gode sparring.OM DIGVi har altid gang i mange spændende projekter på tværs af vores butikker og online platforme. Derfor er det vigtigt, at du går struktureret til værks i hverdagen. Desuden ønsker vi os, at du er passioneret, positiv og engageret. Du ved, hvad der rører sig i den grafiske verden og i modebranchen.VI DRØMMER OM AT DU:Er fortrolig med InDesign, Illustrator og Photoshop Kan udvikle kreative løsninger og koncepter samt sikre et højt niveauHar erfaring med grafiske opsætninger, kampagnemateriale til retail, grafik til SoMe, og tryksagerArbejder selvstændigt, målrettet og tager ansvar for egne opgaverHar relevant grafisk uddannelse og gerne erfaring fra en lignende stillingOPGAVERNEI jobbet som grafisk designer vil du primært komme til at:Være ansvarlig for udvikling og vedligeholdelse af div. kampagner og koncepter - online og offline Bidrage til udvikling og vedligeholdelse af Zizzis grafiske identitet og udtrykAssistere i udarbejdelse af grafisk kampagnemateriale til sociale medier, nyhedsbreve, webshoppen mm. At agere kreativ sparringspartner for dine kollegaer i teametTil gengæld får du rig mulighed for at sætte dit præg på Zizzis visuelle identitet. Du kommer til at skabe grafisk materiale til mange kollegaer i huset, og derfor er der stor mulighed for faglig udvikling og sparring på tværs.ARBEJDSSTEDJobbet har primært arbejdssted på hovedkontoret i Billund, men der vil være enkelte dage med mulighed for at arbejde fra kontoret i Aarhus.ANSØGNINGVi hører gerne fra dig snarest, da vi løbende indkalder til samtaler og ansætter, så snart vi har fundet den rette kandidat.Stillingen er et barselsvikariat med mulighed for forlængelse.
      

        Show more

        


        Show less"
3739440435;2023-10-27 16:55:09.912863;;Denmark;6;Cobham Satcom;Vice President of Global Planning;25 applicants;;Director;Full-time;Administrative and Management;Defense and Space Manufacturing and Telecommunications;"Our Global Operations organization is looking for a Vice President of Global Planning with strong leadership skills to own and manage the Demand, Supply, and Inventory of all our products on a global scale. Leading Demand and Supply Planning teams in Denmark and Singapore, your key responsibility will be to make the Supply Chain more effective, increase customer on-time delivery, secure service levels while minimizing inventory in our global 3PL warehouses to support cash flow.Apart from your planning responsibilities, The VP of Global Planning will play a pivotal role in ensuring a sustainable supply of products from our network of Asia-based Electronic Manufacturing Services (EMS), working with Supply teams in Singapore and Denmark. You will directly impact the overall strategic ambition in monitoring and managing healthy inventory levels. This role will work globally across the business and interact at all levels, whereas building strong- and sustainable business relationships will be key to succeeding in this role.Other tasks – but not limited to, are:Lead all aspects of the SIOP cycle, including attendance at all regular meetings and chairing executive signoff meetings with the Senior Management team and CEO.Evolve the SIOP process towards an Integrated Business Planning (IBP) approach, linking Supply /Demand with financial plans and outcomes, including an effective scenario planning process.Improve and drive forecasting tolls, SKU-level forecast, sanity checks, forecast accuracy, Runner / Repeater / Stranger method, and improve ramp up/down of products through the life cycle.Collaborate with IT and PowerBI team, maintain and improve the completeness and accuracy of planning Master Data, MRP system to include ATP and advanced demand planning models.Liaise with Sales, Order Handling Centre (OHC), and Logistics to ensure that delivery of products align with Sales orders.Convert MRP output to existing and future POs and deliver forecast to EMS’s each SIOP cycle, and collaborate with Procurement to ensure supply constraints are implemented into the process.Own Finished Goods Inventory across the supply chain, including in-transit and in 3PL warehouses.Monitor Inventory health and collaborate with Sales, Order Handling Centre (OHC), and Logistics to address excess inventory commercial initiatives, drive safety stock for customer service levels, and continuously review MTO and MTS strategy.As our VP of Global Planning, your qualifications should ideally be:A bachelor’s or master’s degree in supply chain management, data analytics, or similar combined with solid experience in Demand/supply planning.In-depth knowledge of SIOP and Supply Chain processes, preferably from large international, complex engineering companies with international production and global distribution warehouses.Previous Inventory management by turns management, MRP, ERP, and IBP knowledge and experience – e.g., from leading international projects.Excellent analytical skills and thinking, with the ability to understand and overcome complex problems within Supply Chain, Demand / Supply Planning, and/or global operations.You are an excellent communicator with the ability to transform and communicate complex projects into easy-digestible messaging, presentations, and recommended solutions.Proven business process implementation and execution e.g., utilizing knowledge about change management and stakeholder management. P&L and cashflow awarenessGreat management skills – you will lead an international team, and understand how to get the maximum outcome of managing global teamsGreat collaborator and you work with a high level of perseverance, as you manage to persuade and influence your collaborators at all levels.This position is full-time and working at the Cobham Satcom headquarters in Kgs. Lyngby, and traveling between 30-50 days per year is to be expected – mainly to our 3rd party suppliers in Asia.ApplicationCobham Satcom is an equal opportunity workplace and an affirmative-action employer. We are committed to equal employment opportunities regardless of race, color, religion, sex, disability, age, sexual orientation, gender identity, and national origin.If you have questions regarding the role, please contact Recruiter, Ann Bredvig, at ann.bredvig@cobhamsatcom.com. We encourage candidates to apply at first given chance as we will process applications and call in for interviews continuously.Please be advised that successful candidates are to present their criminal record and go through the security clearance before commencing employment with Cobham Satcom.Your future workplaceWe are a global telecommunication company developing technology that keeps people safe and connected on land and at sea when it matters the most. We are a growing, global tech company with a vision of being the leader in remote connectivity. Our solutions bring the internet on the move no matter where, and our solutions are trusted and used where communication is critical or terrestrial infrastructure is inadequate, such as refugee camps, disaster areas, or far out at sea.It inspires our approx. 500 employees worldwide as we work to solve tasks with a strong sense of team spirit and are part of a diverse and multidisciplinary environment in our organization.It will be an exciting and rewarding journey, so if you are up for a challenge, we hope to hear from you.Learn more about Cobham Satcom at: www.cobhamsatcom.com


        Show more

        


        Show less"
3664569359;2023-10-27 16:55:10.528857;;Denmark;7;Neurons;Unsolicited application;;;Mid-Senior level;Full-time;Information Technology;Technology, Information and Internet;"Are you interested in our company, but haven't found your dream job among our current open positions?You can send us an unsolicited application, and we will make sure to get in touch once we find the perfect match for you!Who are we?About Neurons:Neurons is the world’s leading consumer neuroscience company. Since 2013, we have worked with Fortune-500 companies to optimize every part of their customer journey, including advertising, retail, user experience, innovation, tech, and beyond.Neurons strives to make everyone feel valued at work. We welcome people from all walks of life regardless of race and ethnicity, color, religion, gender identity and expression, sexual orientation, background, marital status, parenthood choices, disability or age.We are a team of nearly 100 talents from over 35 nations with diverse backgrounds, building unique products in an inclusive culture that encourages innovation and values self-expression.If you need any accommodations at any point in the application or interview process, please let us know.We offer an array of benefits:Daily health well-being initiativesIn-house lunchFriday Hygge (including Karaoke, Bingo, Board Games etc.)Quarterly Company EventTeam EventsPensionHealth InsuranceParental leave schemeYoga


        Show more

        


        Show less"
3708939528;2023-10-27 16:55:10.906437;;Denmark;8;s360;Content Intern, s360;;;Not Applicable;Other;Marketing, Public Relations, and Writing/Editing;Advertising Services;"s360 er et prisvindende Performance Marketingbureau med 250 højt specialiserede medarbejdere på tværs af otte kontorer i Norden og Holland. Vi er specialiseret i at skabe datadrevne marketingstrategier for ambitiøse virksomheder såsom Kia, BAUHAUS og Sephora.Vores medarbejdere vurderer vores kultur 4,4 ud af 5!Du bliver en del af en virksomhed, der brænder for at være de bedste til det, vi laver. Vi er stolte af vores kultur, som kendetegnes af et stærkt socialt fællesskab og høj faglighed - eller som Cecilie Amorsen, tidligere intern og nu Student Assistant i Content, siger det: “Hos s360 er du ikke blot praktikant, men en aktiv del af teamet, der deltager i udførelsen af reelle kundeopgaver. Praktikken indebærer en enormt mængde spændende, aktuel viden og giver en mulighed for at udvikle relevante færdigheder inden for den digitale marketingsbranche. Alle er meget imødekommende, og der er stor forståelse og fleksibilitet med hensyn til opgaver uden for praktikken.”Når du er en del af s360, kan du deltage i alle vores sociale arrangementer, hvilket kan være alt lige fra padeltennis og fredagsbarer til hemmelige pop-up events. Lyder det som noget for dig? Så har du i foråret 2024 chancen for at blive intern i vores Content-team. Teamet sørger for at løfte vores kunders content til nye højder, og du bliver hurtigt en vigtig del af teamet, hvor du kommer til at jonglere både med små hasteopgaver og større tekstopgaver med længere deadline. Du får opgaver fra første dag i et bredt udvalg af kategorier og for en lang række af spændende kunder. Dine tekster giver direkte værdi for kunden, og du vil hurtigt få en kommerciel og strategisk forståelse for kommunikation, SEO og tekstarbejde. Konkret vil du komme til at arbejde med: Produktion af guidetekster, kategoritekster, produkttekster og meget mere indenfor online tekstforfatningTekstredigering og korrekturlæsningTekstproduktion med AI og dertilhørende best practices Deltagelse i kundemøder, workshops og strategisessionsDiverse ad hoc-opgaver med tekstforfatning som udgangspunktDet praktiske om digDu er en af dem, dine medstuderende betegner som ambitiøs, og så ønsker du at sætte dit præg på et af Nordens mest ambitiøse digitale marketingbureauer. Derudover er du:I gang med en relevant videregående uddannelseFlydende i mundtlig og skriftlig dansk samt behersker engelsk på højt niveauNede på jorden og ser stor værdi i samarbejdeDet praktiske om dit internshipOpstart er den 15. januar 2024Ulønnet fuldtidsstilling på 37 timer - men vi tilbyder lækker frokost samt te, kaffe og frugt ad libitum Sidste år ansatte vi over 50% af vores interns efter endt internship, så den mulighed er der også for dig!Ansøgningsfrist er den 5. november 2023Har du spørgsmål, er du velkommen til at kontakte Talent Acquisition Specialist Cecillie Meilby Lyngstrand på +45 29 21 12 91 eller cml@s360digital.com. Vi glæder os til at høre fra dig!


        Show more

        


        Show less"
3735225045;2023-10-27 16:55:11.180653;;Denmark;9;BLAST;Assistant Production Accountant;47 applicants;;Associate;Full-time;Finance;Technology, Information and Internet;"We’re on a mission to take esports to the next level of global entertainment. We excite and invite billions of fans to join the esports revolution. We create live and digital experiences - from tournaments that pack out major arenas around the world to great content that’s guaranteed to blow your socks off.We work with some of the world’s best game publishers and brands to elevate their properties into amazing esports experiences - having delivered tournaments, content and shows in a variety of games, including: Counter-Strike, DOTA 2, VALORANT, Apex Legends, FIFA 2022 and Fortnite.We are looking for a new Assistant Production Accountant who will play a pivotal role in the financial management of remote, studio and arena productions from inception to completion.Collaborating closely with various operational departments they are responsible for tracking costs, managing budgets, overseeing payments, and ensuring effective financial control. Additionally, they liaise with the operational teams to ensure compliance with financial procedures and legal requirements.The Assistant Production Accountant facilitates the transition from initial budgeting to project execution, post-production reconciliation, and final reporting.ResponsibilitiesFinance contact point between the various teams who plan our output at our Copenhagen offices for online/remote, studio and arena events around the worldTrack, review and challenge budgeted and incurred costs for all output to ensure they are up to date and accurate. Scrutinise cost reports and challenge where necessaryProcess, review, and reconcile POs invoices. Report on expenses from Pleo (employee cards system) and Melon (travel management system). Track invoice payments and approve bank payments where necessary. Manage VAT considerations in multiple locationsDrive weekly review processes within operational teams, including broadcast and technologyTrack key milestones for compliance, ensure tax credit applications (pre-approval and final) are submitted in a timely and accurate mannerSupport strategic finance team in updating annual budgets, cash flows forecasts, fx management, periodic KPI analysis as requested and delivery status updatesImplementation of financial and operational processes to be utilised by planning and delivery departmentsAd-hoc project & analysis work as directed by the Financial ControllerRequirementsFinancial accounting experience, ideally in broadcast, live entertainment industries or scale-up companiesExcellent interpersonal and communication skillsA passion for broadcast production and thrives in a creative, fast-paced industryExperience with building and implementing scalable solutions Ability to quickly establish credibility with multiple non-financial creative budget holders Experience with financial software systems (e.g. SAP, Concur, Pleo) Google Suite applications and Excel (preferred)Fluent in Danish and EnglishBenefitsCompetitive salary packagePension and Health InsuranceAwesome new office in the center of CopenhagenTeam building and social eventsLunch, snacks and sodas


        Show more

        


        Show less"
